Team,Tag,Topic,nDCG@5
Katana21,bert_test,100,0.0
Katana21,bert_test,99,0.903
Katana21,bert_test,98,0.077
Katana21,bert_test,97,0.806
Katana21,bert_test,96,0.557
Katana21,bert_test,95,0.597
Katana21,bert_test,94,0.0
Katana21,bert_test,93,0.74
Katana21,bert_test,92,0.586
Katana21,bert_test,91,0.934
Katana21,bert_test,90,0.434
Katana21,bert_test,89,1.0
Katana21,bert_test,88,0.923
Katana21,bert_test,87,0.71
Katana21,bert_test,86,0.0
Katana21,bert_test,85,0.23
Katana21,bert_test,84,0.627
Katana21,bert_test,83,0.837
Katana21,bert_test,82,0.31
Katana21,bert_test,81,0.74
Katana21,bert_test,80,0.77
Katana21,bert_test,79,0.77
Katana21,bert_test,78,0.345
Katana21,bert_test,77,1.0
Katana21,bert_test,76,0.934
Katana21,bert_test,75,0.357
Katana21,bert_test,74,0.0
Katana21,bert_test,73,0.613
Katana21,bert_test,72,0.0
Katana21,bert_test,71,0.0
Katana21,bert_test,70,0.434
Katana21,bert_test,69,0.0
Katana21,bert_test,68,0.31
Katana21,bert_test,67,0.077
Katana21,bert_test,66,0.586
Katana21,bert_test,65,0.653
Katana21,bert_test,64,0.633
Katana21,bert_test,63,0.903
Katana21,bert_test,62,0.154
Katana21,bert_test,61,0.0
Katana21,bert_test,60,0.44
Katana21,bert_test,59,0.0
Katana21,bert_test,58,0.106
Katana21,bert_test,57,0.73
Katana21,bert_test,56,0.557
Katana21,bert_test,55,0.297
Katana21,bert_test,54,0.627
Katana21,bert_test,53,0.694
Katana21,bert_test,52,0.077
Katana21,bert_test,51,0.0
Katana21,py_terrier_xgb,100,0.52
Katana21,py_terrier_xgb,99,0.894
Katana21,py_terrier_xgb,98,0.316
Katana21,py_terrier_xgb,97,0.806
Katana21,py_terrier_xgb,96,0.53
Katana21,py_terrier_xgb,95,0.72
Katana21,py_terrier_xgb,94,0.0
Katana21,py_terrier_xgb,93,1.0
Katana21,py_terrier_xgb,92,0.597
Katana21,py_terrier_xgb,91,0.827
Katana21,py_terrier_xgb,90,0.577
Katana21,py_terrier_xgb,89,1.0
Katana21,py_terrier_xgb,88,0.894
Katana21,py_terrier_xgb,87,0.693
Katana21,py_terrier_xgb,86,0.0
Katana21,py_terrier_xgb,85,0.53
Katana21,py_terrier_xgb,84,0.857
Katana21,py_terrier_xgb,83,0.827
Katana21,py_terrier_xgb,82,0.846
Katana21,py_terrier_xgb,81,0.894
Katana21,py_terrier_xgb,80,1.0
Katana21,py_terrier_xgb,79,0.806
