Team,Tag,Topic,nDCG@5
Batman,ER_v1,99,0.806
Batman,ER_v1,98,0.653
Batman,ER_v1,97,1.0
Batman,ER_v1,96,0.703
Batman,ER_v1,95,0.0
Batman,ER_v1,94,0.761
Batman,ER_v1,93,0.077
Batman,ER_v1,92,0.28
Batman,ER_v1,91,0.616
Batman,ER_v1,90,0.27
Batman,ER_v1,89,0.066
Batman,ER_v1,88,0.0
Batman,ER_v1,87,0.47
Batman,ER_v1,86,0.0
Batman,ER_v1,85,0.74
Batman,ER_v1,84,0.0
Batman,ER_v1,83,0.721
Batman,ER_v1,82,0.0
Batman,ER_v1,81,0.52
Batman,ER_v1,80,0.0
Batman,ER_v1,79,0.0
Batman,ER_v1,78,0.787
Batman,ER_v1,77,0.0
Batman,ER_v1,76,1.0
Batman,ER_v1,75,0.357
Batman,ER_v1,74,0.846
Batman,ER_v1,73,0.066
Batman,ER_v1,72,0.693
Batman,ER_v1,71,0.0
Batman,ER_v1,70,0.0
Batman,ER_v1,69,1.0
Batman,ER_v1,68,0.464
Batman,ER_v1,67,0.566
Batman,ER_v1,66,0.787
Batman,ER_v1,65,0.0
Batman,ER_v1,64,0.0
Batman,ER_v1,63,0.0
Batman,ER_v1,62,0.414
Batman,ER_v1,61,0.367
Batman,ER_v1,60,0.0
Batman,ER_v1,59,1.0
Batman,ER_v1,58,0.633
Batman,ER_v1,57,0.0
Batman,ER_v1,56,1.0
Batman,ER_v1,55,1.0
Batman,ER_v1,54,0.0
Batman,ER_v1,53,0.0
Batman,ER_v1,52,0.868
Batman,ER_v1,51,0.0
Batman,DE_RE_Analyzer_4r100,100,0.0
Batman,DE_RE_Analyzer_4r100,99,0.56
Batman,DE_RE_Analyzer_4r100,98,0.674
Batman,DE_RE_Analyzer_4r100,97,0.77
Batman,DE_RE_Analyzer_4r100,96,0.307
Batman,DE_RE_Analyzer_4r100,95,0.894
Batman,DE_RE_Analyzer_4r100,94,1.0
Batman,DE_RE_Analyzer_4r100,93,0.714
Batman,DE_RE_Analyzer_4r100,92,0.124
Batman,DE_RE_Analyzer_4r100,91,0.48
Batman,DE_RE_Analyzer_4r100,90,0.422
Batman,DE_RE_Analyzer_4r100,89,0.23
Batman,DE_RE_Analyzer_4r100,88,0.473
Batman,DE_RE_Analyzer_4r100,87,0.52
Batman,DE_RE_Analyzer_4r100,86,0.751
Batman,DE_RE_Analyzer_4r100,85,0.817
Batman,DE_RE_Analyzer_4r100,84,0.27
Batman,DE_RE_Analyzer_4r100,83,1.0
Batman,DE_RE_Analyzer_4r100,82,0.336
Batman,DE_RE_Analyzer_4r100,81,0.653
Batman,DE_RE_Analyzer_4r100,80,0.501
Batman,DE_RE_Analyzer_4r100,79,0.683
Batman,DE_RE_Analyzer_4r100,78,0.608
Batman,DE_RE_Analyzer_4r100,77,0.0
Batman,DE_RE_Analyzer_4r100,76,1.0
Batman,DE_RE_Analyzer_4r100,75,0.154
Batman,DE_RE_Analyzer_4r100,74,0.787
Batman,DE_RE_Analyzer_4r100,73,0.251
Batman,DE_RE_Analyzer_4r100,72,0.806
Batman,DE_RE_Analyzer_4r100,71,0.627
Batman,DE_RE_Analyzer_4r100,70,0.567
Batman,DE_RE_Analyzer_4r100,69,1.0
Batman,DE_RE_Analyzer_4r100,68,0.209
Batman,DE_RE_Analyzer_4r100,67,0.663
Batman,DE_RE_Analyzer_4r100,66,0.066
Batman,DE_RE_Analyzer_4r100,65,0.077
Batman,DE_RE_Analyzer_4r100,64,1.0
Batman,DE_RE_Analyzer_4r100,63,0.403
Batman,DE_RE_Analyzer_4r100,62,0.461
Batman,DE_RE_Analyzer_4r100,61,0.934
Batman,DE_RE_Analyzer_4r100,60,0.0
Batman,DE_RE_Analyzer_4r100,59,0.469
Batman,DE_RE_Analyzer_4r100,58,0.367
Batman,DE_RE_Analyzer_4r100,57,0.519
Batman,DE_RE_Analyzer_4r100,56,0.923
Batman,DE_RE_Analyzer_4r100,55,0.643
Batman,DE_RE_Analyzer_4r100,54,0.367
Batman,DE_RE_Analyzer_4r100,53,0.194
Batman,DE_RE_Analyzer_4r100,52,0.366
Batman,DE_RE_Analyzer_4r100,51,0.316
Batman,ER_Analyzer_5,100,0.0
Batman,ER_Analyzer_5,99,0.0
Batman,ER_Analyzer_5,97,0.0
Batman,ER_Analyzer_5,95,0.0
Batman,ER_Analyzer_5,94,0.0
Batman,ER_Analyzer_5,92,0.0
Batman,ER_Analyzer_5,90,0.0
Batman,ER_Analyzer_5,88,0.0
Batman,ER_Analyzer_5,87,0.0
Batman,ER_Analyzer_5,85,0.0
Batman,ER_Analyzer_5,84,0.0
Batman,ER_Analyzer_5,81,0.0
Batman,ER_Analyzer_5,79,0.0
Batman,ER_Analyzer_5,77,0.0
Batman,ER_Analyzer_5,75,0.0
Batman,ER_Analyzer_5,70,0.0
Batman,ER_Analyzer_5,65,0.0
Batman,ER_Analyzer_5,64,0.0
Batman,ER_Analyzer_5,61,0.0
Batman,ER_Analyzer_5,59,0.0
Batman,ER_Analyzer_5,58,0.0
Batman,ER_Analyzer_5,57,0.0
Batman,ER_Analyzer_5,55,0.0
Batman,ER_Analyzer_5,53,0.0
Batman,ER_Analyzer_5,51,0.0
Deadpool,uh-t1-deadpool,100,0.307
Deadpool,uh-t1-deadpool,99,1.0
Deadpool,uh-t1-deadpool,98,0.846
Deadpool,uh-t1-deadpool,97,0.5
Deadpool,uh-t1-deadpool,96,0.413
Deadpool,uh-t1-deadpool,95,1.0
Deadpool,uh-t1-deadpool,94,0.846
Deadpool,uh-t1-deadpool,93,0.643
Deadpool,uh-t1-deadpool,92,0.214
Deadpool,uh-t1-deadpool,91,0.846
Deadpool,uh-t1-deadpool,90,0.363
Deadpool,uh-t1-deadpool,89,0.47
Deadpool,uh-t1-deadpool,88,0.616
Deadpool,uh-t1-deadpool,87,0.203
Deadpool,uh-t1-deadpool,86,0.653
Deadpool,uh-t1-deadpool,85,0.827
Deadpool,uh-t1-deadpool,84,1.0
Deadpool,uh-t1-deadpool,83,1.0
Deadpool,uh-t1-deadpool,82,0.346
Deadpool,uh-t1-deadpool,81,1.0
Deadpool,uh-t1-deadpool,80,0.674
Deadpool,uh-t1-deadpool,79,0.837
Deadpool,uh-t1-deadpool,78,0.132
Deadpool,uh-t1-deadpool,77,0.0
Deadpool,uh-t1-deadpool,76,1.0
Deadpool,uh-t1-deadpool,75,0.346
Deadpool,uh-t1-deadpool,74,1.0
Deadpool,uh-t1-deadpool,73,0.414
Deadpool,uh-t1-deadpool,72,1.0
Deadpool,uh-t1-deadpool,71,0.674
Deadpool,uh-t1-deadpool,70,0.663
Deadpool,uh-t1-deadpool,69,1.0
Deadpool,uh-t1-deadpool,68,0.52
Deadpool,uh-t1-deadpool,67,0.77
Deadpool,uh-t1-deadpool,66,0.674
Deadpool,uh-t1-deadpool,65,0.0
Deadpool,uh-t1-deadpool,64,1.0
Deadpool,uh-t1-deadpool,63,0.703
Deadpool,uh-t1-deadpool,62,0.771
Deadpool,uh-t1-deadpool,61,0.106
Deadpool,uh-t1-deadpool,60,0.0
Deadpool,uh-t1-deadpool,59,0.213
Deadpool,uh-t1-deadpool,58,0.213
Deadpool,uh-t1-deadpool,57,0.213
Deadpool,uh-t1-deadpool,56,0.213
Deadpool,uh-t1-deadpool,55,0.213
Deadpool,uh-t1-deadpool,54,0.0
Deadpool,uh-t1-deadpool,53,0.0
Deadpool,uh-t1-deadpool,52,0.213
Deadpool,uh-t1-deadpool,51,0.0
Robin Hood,robinhood_combined,100,0.213
Robin Hood,robinhood_combined,99,0.213
Robin Hood,robinhood_combined,98,1.0
Robin Hood,robinhood_combined,97,0.857
Robin Hood,robinhood_combined,96,0.617
Robin Hood,robinhood_combined,95,0.934
Robin Hood,robinhood_combined,94,0.78
Robin Hood,robinhood_combined,93,1.0
Robin Hood,robinhood_combined,92,0.583
Robin Hood,robinhood_combined,91,0.637
Robin Hood,robinhood_combined,90,0.52
Robin Hood,robinhood_combined,89,0.653
Robin Hood,robinhood_combined,88,0.52
Robin Hood,robinhood_combined,87,0.617
Robin Hood,robinhood_combined,86,0.934
Robin Hood,robinhood_combined,85,0.749
Robin Hood,robinhood_combined,84,0.606
Robin Hood,robinhood_combined,83,1.0
Robin Hood,robinhood_combined,82,0.52
Robin Hood,robinhood_combined,81,0.934
Robin Hood,robinhood_combined,80,0.154
Robin Hood,robinhood_combined,79,0.903
Robin Hood,robinhood_combined,78,0.868
Robin Hood,robinhood_combined,77,0.771
