Team,Tag,Topic,nDCG@5
Thor,uh-t2-thor,100,0.0
Thor,uh-t2-thor,99,0.83
Thor,uh-t2-thor,98,0.218
Thor,uh-t2-thor,97,0.655
Thor,uh-t2-thor,96,0.5
Thor,uh-t2-thor,95,0.613
Thor,uh-t2-thor,94,1.0
Thor,uh-t2-thor,93,1.0
Thor,uh-t2-thor,92,0.639
Thor,uh-t2-thor,91,0.893
Thor,uh-t2-thor,90,0.893
Thor,uh-t2-thor,89,1.0
Thor,uh-t2-thor,88,0.927
Thor,uh-t2-thor,87,1.0
Thor,uh-t2-thor,86,0.0
Thor,uh-t2-thor,85,1.0
Thor,uh-t2-thor,84,0.723
Thor,uh-t2-thor,83,1.0
Thor,uh-t2-thor,82,0.869
Thor,uh-t2-thor,81,0.639
Thor,uh-t2-thor,80,1.0
Thor,uh-t2-thor,79,0.765
Thor,uh-t2-thor,78,0.796
Thor,uh-t2-thor,77,1.0
Thor,uh-t2-thor,76,1.0
Thor,uh-t2-thor,75,0.504
Thor,uh-t2-thor,74,0.509
Thor,uh-t2-thor,73,0.927
Thor,uh-t2-thor,72,0.927
Thor,uh-t2-thor,71,0.0
Thor,uh-t2-thor,70,0.0
Thor,uh-t2-thor,69,0.501
Thor,uh-t2-thor,68,1.0
Thor,uh-t2-thor,67,0.723
Thor,uh-t2-thor,66,1.0
Thor,uh-t2-thor,65,0.131
Thor,uh-t2-thor,64,0.915
Thor,uh-t2-thor,63,1.0
Thor,uh-t2-thor,62,0.168
Thor,uh-t2-thor,61,0.586
Thor,uh-t2-thor,60,0.577
Thor,uh-t2-thor,59,0.0
Thor,uh-t2-thor,58,0.755
Thor,uh-t2-thor,57,1.0
Thor,uh-t2-thor,56,0.468
Thor,uh-t2-thor,55,0.07
Thor,uh-t2-thor,54,0.735
Thor,uh-t2-thor,53,0.915
Thor,uh-t2-thor,52,0.646
Thor,uh-t2-thor,51,1.0
Katana21,run_tf.txt,100,0.214
Katana21,run_tf.txt,99,0.765
Katana21,run_tf.txt,98,0.356
Katana21,run_tf.txt,97,0.735
Katana21,run_tf.txt,96,0.33
Katana21,run_tf.txt,95,0.717
Katana21,run_tf.txt,94,0.0
Katana21,run_tf.txt,93,1.0
Katana21,run_tf.txt,92,0.808
Katana21,run_tf.txt,91,0.934
Katana21,run_tf.txt,90,0.519
Katana21,run_tf.txt,89,0.893
Katana21,run_tf.txt,88,0.934
Katana21,run_tf.txt,87,0.684
Katana21,run_tf.txt,86,0.138
Katana21,run_tf.txt,85,0.353
Katana21,run_tf.txt,84,0.915
Katana21,run_tf.txt,83,0.522
Katana21,run_tf.txt,82,0.869
Katana21,run_tf.txt,81,0.83
Katana21,run_tf.txt,80,1.0
Katana21,run_tf.txt,79,0.927
Katana21,run_tf.txt,78,1.0
Katana21,run_tf.txt,77,0.915
Katana21,run_tf.txt,76,0.692
Katana21,run_tf.txt,75,0.273
Katana21,run_tf.txt,74,0.723
Katana21,run_tf.txt,73,0.661
Katana21,run_tf.txt,72,1.0
Katana21,run_tf.txt,71,0.0
Katana21,run_tf.txt,70,0.078
Katana21,run_tf.txt,69,0.72
Katana21,run_tf.txt,68,0.786
Katana21,run_tf.txt,67,0.301
Katana21,run_tf.txt,66,1.0
Katana21,run_tf.txt,65,0.301
Katana21,run_tf.txt,64,1.0
Katana21,run_tf.txt,63,1.0
Katana21,run_tf.txt,62,0.151
Katana21,run_tf.txt,61,0.559
Katana21,run_tf.txt,60,0.83
Katana21,run_tf.txt,59,0.0
Katana21,run_tf.txt,58,0.482
Katana21,run_tf.txt,57,0.607
Katana21,run_tf.txt,56,0.626
Katana21,run_tf.txt,55,0.193
Katana21,run_tf.txt,54,0.754
Katana21,run_tf.txt,53,0.82
Katana21,run_tf.txt,52,0.795
Katana21,run_tf.txt,51,0.786
Katana21,lgbm_ranker,100,0.553
Katana21,lgbm_ranker,99,0.83
Katana21,lgbm_ranker,98,0.45
Katana21,lgbm_ranker,97,0.934
Katana21,lgbm_ranker,96,0.393
Katana21,lgbm_ranker,95,0.787
Katana21,lgbm_ranker,94,0.0
Katana21,lgbm_ranker,93,0.869
Katana21,lgbm_ranker,92,0.566
Katana21,lgbm_ranker,91,0.83
Katana21,lgbm_ranker,90,0.658
Katana21,lgbm_ranker,89,1.0
Katana21,lgbm_ranker,88,0.83
Katana21,lgbm_ranker,87,0.713
Katana21,lgbm_ranker,86,0.0
Katana21,lgbm_ranker,85,0.713
Katana21,lgbm_ranker,84,0.85
Katana21,lgbm_ranker,83,1.0
Katana21,lgbm_ranker,82,1.0
Katana21,lgbm_ranker,81,0.83
Katana21,lgbm_ranker,80,1.0
Katana21,lgbm_ranker,79,0.927
Katana21,lgbm_ranker,78,1.0
Katana21,lgbm_ranker,77,1.0
Katana21,lgbm_ranker,76,0.808
Katana21,lgbm_ranker,75,0.58
Katana21,lgbm_ranker,74,0.553
Katana21,lgbm_ranker,73,0.83
Katana21,lgbm_ranker,72,1.0
Katana21,lgbm_ranker,71,0.32
Katana21,lgbm_ranker,70,0.481
