Team,Tag,Topic,nDCG@5
Grimjack,grimjack-argumentative-axioms,100,0.485
Grimjack,grimjack-argumentative-axioms,95,0.085
Grimjack,grimjack-argumentative-axioms,93,0.595
Grimjack,grimjack-argumentative-axioms,92,0.356
Grimjack,grimjack-argumentative-axioms,91,0.82
Grimjack,grimjack-argumentative-axioms,88,0.0
Grimjack,grimjack-argumentative-axioms,86,0.214
Grimjack,grimjack-argumentative-axioms,84,0.381
Grimjack,grimjack-argumentative-axioms,78,0.214
Grimjack,grimjack-argumentative-axioms,77,0.665
Grimjack,grimjack-argumentative-axioms,76,0.311
Grimjack,grimjack-argumentative-axioms,74,0.512
Grimjack,grimjack-argumentative-axioms,72,0.277
Grimjack,grimjack-argumentative-axioms,70,0.28
Grimjack,grimjack-argumentative-axioms,69,0.265
Grimjack,grimjack-argumentative-axioms,68,0.446
Grimjack,grimjack-argumentative-axioms,67,0.0
Grimjack,grimjack-argumentative-axioms,62,0.915
Grimjack,grimjack-argumentative-axioms,61,0.915
Grimjack,grimjack-argumentative-axioms,60,0.214
Grimjack,grimjack-argumentative-axioms,59,0.238
Grimjack,grimjack-argumentative-axioms,58,0.098
Grimjack,grimjack-argumentative-axioms,56,0.0
Grimjack,grimjack-argumentative-axioms,55,0.212
Grimjack,grimjack-argumentative-axioms,54,0.915
Grimjack,grimjack-argumentative-axioms,53,0.218
Grimjack,grimjack-argumentative-axioms,51,0.784
Grimjack,grimjack-argumentative-axioms,48,0.387
Grimjack,grimjack-argumentative-axioms,43,0.0
Grimjack,grimjack-argumentative-axioms,42,0.393
Grimjack,grimjack-argumentative-axioms,37,0.735
Grimjack,grimjack-argumentative-axioms,36,0.574
Grimjack,grimjack-argumentative-axioms,34,0.446
Grimjack,grimjack-argumentative-axioms,33,1.0
Grimjack,grimjack-argumentative-axioms,30,0.434
Grimjack,grimjack-argumentative-axioms,28,0.272
Grimjack,grimjack-argumentative-axioms,27,0.0
Grimjack,grimjack-argumentative-axioms,26,0.17
Grimjack,grimjack-argumentative-axioms,25,0.214
Grimjack,grimjack-argumentative-axioms,23,0.301
Grimjack,grimjack-argumentative-axioms,22,0.711
Grimjack,grimjack-argumentative-axioms,19,0.405
Grimjack,grimjack-argumentative-axioms,18,0.743
Grimjack,grimjack-argumentative-axioms,17,0.277
Grimjack,grimjack-argumentative-axioms,14,0.235
Grimjack,grimjack-argumentative-axioms,12,0.582
Grimjack,grimjack-argumentative-axioms,9,0.0
Grimjack,grimjack-argumentative-axioms,8,0.17
Grimjack,grimjack-argumentative-axioms,3,0.0
Grimjack,grimjack-argumentative-axioms,2,0.339
Grimjack,grimjack-baseline,100,0.485
Grimjack,grimjack-baseline,95,0.085
Grimjack,grimjack-baseline,93,0.595
Grimjack,grimjack-baseline,92,0.356
Grimjack,grimjack-baseline,91,0.82
Grimjack,grimjack-baseline,88,0.0
Grimjack,grimjack-baseline,86,0.214
Grimjack,grimjack-baseline,84,0.381
Grimjack,grimjack-baseline,78,0.214
Grimjack,grimjack-baseline,77,0.665
Grimjack,grimjack-baseline,76,0.311
Grimjack,grimjack-baseline,74,0.512
Grimjack,grimjack-baseline,72,0.277
Grimjack,grimjack-baseline,70,0.28
Grimjack,grimjack-baseline,69,0.265
Grimjack,grimjack-baseline,68,0.446
Grimjack,grimjack-baseline,67,0.0
Grimjack,grimjack-baseline,62,0.915
Grimjack,grimjack-baseline,61,0.915
Grimjack,grimjack-baseline,60,0.214
Grimjack,grimjack-baseline,59,0.238
Grimjack,grimjack-baseline,58,0.098
Grimjack,grimjack-baseline,56,0.0
Grimjack,grimjack-baseline,55,0.212
Grimjack,grimjack-baseline,54,0.915
Grimjack,grimjack-baseline,53,0.218
Grimjack,grimjack-baseline,51,0.784
Grimjack,grimjack-baseline,48,0.387
Grimjack,grimjack-baseline,43,0.0
Grimjack,grimjack-baseline,42,0.393
Grimjack,grimjack-baseline,37,0.735
Grimjack,grimjack-baseline,36,0.574
Grimjack,grimjack-baseline,34,0.446
Grimjack,grimjack-baseline,33,1.0
Grimjack,grimjack-baseline,30,0.434
Grimjack,grimjack-baseline,28,0.272
Grimjack,grimjack-baseline,27,0.0
Grimjack,grimjack-baseline,26,0.17
Grimjack,grimjack-baseline,25,0.214
Grimjack,grimjack-baseline,23,0.301
Grimjack,grimjack-baseline,22,0.711
Grimjack,grimjack-baseline,19,0.405
Grimjack,grimjack-baseline,18,0.743
Grimjack,grimjack-baseline,17,0.277
Grimjack,grimjack-baseline,14,0.235
Grimjack,grimjack-baseline,12,0.582
Grimjack,grimjack-baseline,9,0.0
Grimjack,grimjack-baseline,8,0.17
Grimjack,grimjack-baseline,3,0.0
Grimjack,grimjack-baseline,2,0.339
Grimjack,grimjack-fair-reranking-argumentative-axioms,100,0.553
Grimjack,grimjack-fair-reranking-argumentative-axioms,95,0.107
Grimjack,grimjack-fair-reranking-argumentative-axioms,93,0.661
Grimjack,grimjack-fair-reranking-argumentative-axioms,92,0.356
Grimjack,grimjack-fair-reranking-argumentative-axioms,91,1.0
Grimjack,grimjack-fair-reranking-argumentative-axioms,88,0.0
Grimjack,grimjack-fair-reranking-argumentative-axioms,86,0.339
Grimjack,grimjack-fair-reranking-argumentative-axioms,84,0.555
Grimjack,grimjack-fair-reranking-argumentative-axioms,78,0.339
Grimjack,grimjack-fair-reranking-argumentative-axioms,77,0.58
Grimjack,grimjack-fair-reranking-argumentative-axioms,76,0.311
Grimjack,grimjack-fair-reranking-argumentative-axioms,74,0.512
Grimjack,grimjack-fair-reranking-argumentative-axioms,72,0.299
Grimjack,grimjack-fair-reranking-argumentative-axioms,70,0.628
Grimjack,grimjack-fair-reranking-argumentative-axioms,69,0.257
Grimjack,grimjack-fair-reranking-argumentative-axioms,68,0.468
Grimjack,grimjack-fair-reranking-argumentative-axioms,67,0.0
Grimjack,grimjack-fair-reranking-argumentative-axioms,62,0.82
Grimjack,grimjack-fair-reranking-argumentative-axioms,61,0.927
Grimjack,grimjack-fair-reranking-argumentative-axioms,60,0.214
Grimjack,grimjack-fair-reranking-argumentative-axioms,59,0.18
Grimjack,grimjack-fair-reranking-argumentative-axioms,58,0.371
Grimjack,grimjack-fair-reranking-argumentative-axioms,56,0.0
Grimjack,grimjack-fair-reranking-argumentative-axioms,55,0.146
Grimjack,grimjack-fair-reranking-argumentative-axioms,54,0.769
Grimjack,grimjack-fair-reranking-argumentative-axioms,53,0.578
Grimjack,grimjack-fair-reranking-argumentative-axioms,51,0.934
Grimjack,grimjack-fair-reranking-argumentative-axioms,48,0.218
Grimjack,grimjack-fair-reranking-argumentative-axioms,43,0.109
Grimjack,grimjack-fair-reranking-argumentative-axioms,42,0.33
Grimjack,grimjack-fair-reranking-argumentative-axioms,37,0.704
Grimjack,grimjack-fair-reranking-argumentative-axioms,36,0.65
Grimjack,grimjack-fair-reranking-argumentative-axioms,34,0.459
Grimjack,grimjack-fair-reranking-argumentative-axioms,33,0.854
Grimjack,grimjack-fair-reranking-argumentative-axioms,30,0.434
