Team,Tag,Topic,nDCG@5
Batman,ER_v1,99,0.83
Batman,ER_v1,98,0.684
Batman,ER_v1,97,1.0
Batman,ER_v1,96,0.754
Batman,ER_v1,95,0.0
Batman,ER_v1,94,0.699
Batman,ER_v1,93,0.073
Batman,ER_v1,92,0.288
Batman,ER_v1,91,0.713
Batman,ER_v1,90,0.32
Batman,ER_v1,89,0.066
Batman,ER_v1,88,0.0
Batman,ER_v1,87,0.364
Batman,ER_v1,86,0.0
Batman,ER_v1,85,0.723
Batman,ER_v1,84,0.0
Batman,ER_v1,83,0.595
Batman,ER_v1,82,0.0
Batman,ER_v1,81,0.551
Batman,ER_v1,80,0.0
Batman,ER_v1,79,0.0
Batman,ER_v1,78,0.661
Batman,ER_v1,77,0.0
Batman,ER_v1,76,1.0
Batman,ER_v1,75,0.361
Batman,ER_v1,74,0.854
Batman,ER_v1,73,0.066
Batman,ER_v1,72,0.786
Batman,ER_v1,71,0.0
Batman,ER_v1,70,0.0
Batman,ER_v1,69,1.0
Batman,ER_v1,68,0.568
Batman,ER_v1,67,0.566
Batman,ER_v1,66,0.661
Batman,ER_v1,65,0.0
Batman,ER_v1,64,0.0
Batman,ER_v1,63,0.0
Batman,ER_v1,62,0.381
Batman,ER_v1,61,0.446
Batman,ER_v1,60,0.0
Batman,ER_v1,59,1.0
Batman,ER_v1,58,0.551
Batman,ER_v1,57,0.0
Batman,ER_v1,56,1.0
Batman,ER_v1,55,1.0
Batman,ER_v1,54,0.0
Batman,ER_v1,53,0.0
Batman,ER_v1,52,0.869
Batman,ER_v1,51,0.0
Batman,DE_RE_Analyzer_4r100,100,0.0
Batman,DE_RE_Analyzer_4r100,99,0.655
Batman,DE_RE_Analyzer_4r100,98,0.699
Batman,DE_RE_Analyzer_4r100,97,0.82
Batman,DE_RE_Analyzer_4r100,96,0.214
Batman,DE_RE_Analyzer_4r100,95,0.83
Batman,DE_RE_Analyzer_4r100,94,1.0
Batman,DE_RE_Analyzer_4r100,93,0.723
Batman,DE_RE_Analyzer_4r100,92,0.218
Batman,DE_RE_Analyzer_4r100,91,0.449
Batman,DE_RE_Analyzer_4r100,90,0.543
Batman,DE_RE_Analyzer_4r100,89,0.18
Batman,DE_RE_Analyzer_4r100,88,0.574
Batman,DE_RE_Analyzer_4r100,87,0.551
Batman,DE_RE_Analyzer_4r100,86,0.692
Batman,DE_RE_Analyzer_4r100,85,0.757
Batman,DE_RE_Analyzer_4r100,84,0.32
Batman,DE_RE_Analyzer_4r100,83,1.0
Batman,DE_RE_Analyzer_4r100,82,0.386
Batman,DE_RE_Analyzer_4r100,81,0.684
Batman,DE_RE_Analyzer_4r100,80,0.384
Batman,DE_RE_Analyzer_4r100,79,0.743
Batman,DE_RE_Analyzer_4r100,78,0.592
Batman,DE_RE_Analyzer_4r100,77,0.0
Batman,DE_RE_Analyzer_4r100,76,1.0
Batman,DE_RE_Analyzer_4r100,75,0.107
Batman,DE_RE_Analyzer_4r100,74,0.661
Batman,DE_RE_Analyzer_4r100,73,0.192
Batman,DE_RE_Analyzer_4r100,72,0.83
Batman,DE_RE_Analyzer_4r100,71,0.681
Batman,DE_RE_Analyzer_4r100,70,0.53
Batman,DE_RE_Analyzer_4r100,69,1.0
Batman,DE_RE_Analyzer_4r100,68,0.219
Batman,DE_RE_Analyzer_4r100,67,0.65
Batman,DE_RE_Analyzer_4r100,66,0.066
Batman,DE_RE_Analyzer_4r100,65,0.094
Batman,DE_RE_Analyzer_4r100,64,1.0
Batman,DE_RE_Analyzer_4r100,63,0.415
Batman,DE_RE_Analyzer_4r100,62,0.36
Batman,DE_RE_Analyzer_4r100,61,0.934
Batman,DE_RE_Analyzer_4r100,60,0.0
Batman,DE_RE_Analyzer_4r100,59,0.481
Batman,DE_RE_Analyzer_4r100,58,0.519
Batman,DE_RE_Analyzer_4r100,57,0.628
Batman,DE_RE_Analyzer_4r100,56,0.927
Batman,DE_RE_Analyzer_4r100,55,0.639
Batman,DE_RE_Analyzer_4r100,54,0.485
Batman,DE_RE_Analyzer_4r100,53,0.197
Batman,DE_RE_Analyzer_4r100,52,0.405
Batman,DE_RE_Analyzer_4r100,51,0.374
Batman,ER_Analyzer_5,100,0.0
Batman,ER_Analyzer_5,99,0.0
Batman,ER_Analyzer_5,97,0.0
Batman,ER_Analyzer_5,95,0.0
Batman,ER_Analyzer_5,94,0.0
Batman,ER_Analyzer_5,92,0.0
Batman,ER_Analyzer_5,90,0.0
Batman,ER_Analyzer_5,88,0.0
Batman,ER_Analyzer_5,87,0.0
Batman,ER_Analyzer_5,85,0.0
Batman,ER_Analyzer_5,84,0.0
Batman,ER_Analyzer_5,81,0.0
Batman,ER_Analyzer_5,79,0.0
Batman,ER_Analyzer_5,77,0.0
Batman,ER_Analyzer_5,75,0.0
Batman,ER_Analyzer_5,70,0.0
